timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-04-14 16:03:43,unknown,admin,1,failed,16,3,1,0,31,1898.0,0
2025-04-14 16:03:48,unknown,admin,2,failed,16,3,1,0,31,5.0,0
2025-04-14 16:03:52,unknown,admin,3,failed,16,3,1,0,31,4.0,0
2025-04-14 16:05:14,unknown,admin,1,success,16,5,1,0,31,82.0,0
2025-04-14 16:09:19,unknown,admin,1,success,16,9,1,0,31,245.0,0
2025-04-14 16:12:07,unknown,admin,1,success,16,12,1,0,31,168.0,0
2025-04-14 16:15:32,unknown,admin,4,failed,16,15,1,0,31,205.0,0
2025-04-14 16:15:37,unknown,admin,5,failed,16,15,1,0,31,5.0,0
2025-04-14 16:15:42,unknown,admin,6,failed,16,15,1,0,31,5.0,0
2025-04-14 16:15:51,unknown,admin,7,failed,16,15,1,0,31,9.0,0
2025-04-14 16:15:55,unknown,admin,8,failed,16,15,1,0,31,4.0,1
2025-04-14 16:15:59,unknown,admin,9,failed,16,15,1,0,31,4.0,1
2025-04-14 16:20:17,unknown,admin,10,failed,16,20,1,0,31,258.0,0
2025-04-14 16:20:19,unknown,admin,11,failed,16,20,1,0,31,2.0,1
2025-04-14 16:20:24,unknown,admin,12,failed,16,20,1,0,31,5.0,0
2025-04-14 16:20:41,unknown,admin,13,failed,16,20,1,0,31,17.0,0
2025-04-14 16:20:45,unknown,admin,14,failed,16,20,1,0,31,4.0,1
2025-04-14 16:20:47,unknown,admin,1,success,16,20,1,0,31,2.0,0
2025-04-14 16:20:50,unknown,admin,15,failed,16,20,1,0,31,3.0,1
2025-04-14 16:21:43,unknown,admin,1,success,16,21,1,0,31,53.0,0
2025-04-14 16:23:12,unknown,admin,1,success,16,23,1,0,31,89.0,0
2025-04-14 16:23:24,unknown,admin,1,success,16,23,1,0,31,12.0,0
2025-04-14 16:24:58,unknown,admin,1,success,16,24,1,0,31,94.0,0
2025-04-14 16:25:32,unknown,admin,1,success,16,25,1,0,31,34.0,0
2025-04-14 16:26:51,127.0.0.1,admin,28,failed,16,26,0,0,4,79.0,0
2025-04-14 16:28:29,127.0.0.1,admin,1,success,16,28,0,0,4,98.0,0
2025-04-14 16:28:33,unknown,admin,1,success,16,28,1,0,31,4.0,0
2025-04-14 16:29:34,unknown,admin,1,success,16,29,1,0,31,61.0,0
2025-04-14 16:33:20,127.0.0.1,test,29,failed,16,33,0,2,132,226.0,0
2025-04-14 16:33:24,127.0.0.1,test,30,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:27,127.0.0.1,test,31,failed,16,33,0,2,132,3.0,1
2025-04-14 16:33:31,127.0.0.1,test,32,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:35,127.0.0.1,test,33,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:39,127.0.0.1,test,34,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:43,127.0.0.1,test,35,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:47,127.0.0.1,test,36,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:51,127.0.0.1,test,37,failed,16,33,0,2,132,4.0,1
2025-04-14 16:33:54,127.0.0.1,test,38,failed,16,33,0,2,132,3.0,1
2025-04-14 16:33:58,127.0.0.1,test,39,failed,16,33,0,2,132,4.0,1
2025-04-14 16:34:03,127.0.0.1,test,40,failed,16,34,0,2,132,5.0,0
2025-04-14 16:34:06,127.0.0.1,test,41,failed,16,34,0,2,132,3.0,1
2025-04-14 16:34:10,127.0.0.1,test,42,failed,16,34,0,2,132,4.0,1
2025-04-14 16:34:15,127.0.0.1,test,43,failed,16,34,0,2,132,5.0,0
2025-04-14 16:34:22,127.0.0.1,test,44,failed,16,34,0,2,132,7.0,0
2025-04-14 16:34:26,127.0.0.1,test,45,failed,16,34,0,2,132,4.0,1
2025-04-14 16:34:30,127.0.0.1,test,46,failed,16,34,0,2,132,4.0,1
2025-04-14 16:34:33,127.0.0.1,test,47,failed,16,34,0,2,132,3.0,1
2025-04-14 16:34:37,127.0.0.1,test,48,failed,16,34,0,2,132,4.0,1
2025-04-14 16:34:43,127.0.0.1,test,49,failed,16,34,0,2,132,6.0,0
2025-04-14 16:34:48,127.0.0.1,test,50,failed,16,34,0,2,132,5.0,0
2025-04-14 16:34:54,127.0.0.1,test,51,failed,16,34,0,2,132,6.0,0
2025-04-14 16:34:58,127.0.0.1,test,52,failed,16,34,0,2,132,4.0,1
2025-04-14 16:35:02,127.0.0.1,test,53,failed,16,35,0,2,132,4.0,1
2025-04-14 16:35:09,127.0.0.1,test,54,failed,16,35,0,2,132,7.0,0
2025-04-14 16:35:12,127.0.0.1,test,55,failed,16,35,0,2,132,3.0,1
2025-04-14 16:35:16,127.0.0.1,test,56,failed,16,35,0,2,132,4.0,1
2025-04-14 16:35:26,127.0.0.1,test,1,success,16,35,0,2,132,10.0,0
2025-04-14 16:36:24,127.0.0.1,test,1,success,16,36,0,2,132,58.0,0
2025-04-14 16:36:51,127.0.0.1,test,1,success,16,36,0,2,132,27.0,0
2025-04-14 16:37:55,127.0.0.1,test,1,success,16,37,0,2,132,64.0,0
